survey_id,customer_id,survey_date,survey_type,nps_score,satisfaction_score,ease_of_use,would_recommend,payment_method_used
SRV000351,CUST00190,2022-09-01,NPS,3.0,5,4,Yes,Debit
SRV000352,CUST00228,2024-05-31,Annual,,5,5,Maybe,Mastercard
SRV000353,CUST00830,2023-08-19,Post-Purchase,,3,5,Maybe,Visa
SRV000354,CUST00122,2024-04-26,Post-Purchase,,5,3,Yes,Visa
SRV000355,CUST00522,2023-03-25,NPS,9.0,3,3,Yes,Cash
SRV000356,CUST00992,2024-06-06,NPS,7.0,5,5,Yes,Mastercard
SRV000357,CUST00086,2022-06-21,NPS,8.0,3,3,Yes,Debit
SRV000358,CUST00615,2022-11-12,Post-Purchase,,5,5,Yes,Visa
SRV000359,CUST00075,2022-11-06,NPS,0.0,4,1,Maybe,Cash
SRV000360,CUST00885,2024-07-27,NPS,1.0,4,5,No,Cash
SRV000361,CUST00176,2023-10-28,Annual,,4,3,Yes,Visa
SRV000362,CUST00502,2022-05-13,Post-Purchase,,3,3,Yes,Visa
SRV000363,CUST00366,2022-05-27,Post-Purchase,,5,2,Maybe,Mastercard
SRV000364,CUST00526,2023-07-19,NPS,8.0,5,2,No,Visa
SRV000365,CUST00886,2022-05-01,NPS,4.0,4,4,Yes,Cash
SRV000366,CUST00985,2022-07-31,Post-Purchase,,5,4,Yes,Mastercard
SRV000367,CUST00353,2023-02-02,Annual,,4,5,Yes,Debit
SRV000368,CUST00026,2022-01-22,NPS,3.0,5,4,No,Visa
SRV000369,CUST00900,2022-01-13,Post-Purchase,,2,5,Yes,Mastercard
SRV000370,CUST00099,2023-02-09,Annual,,4,3,No,Mastercard
SRV000371,CUST00817,2022-09-05,Post-Purchase,,5,1,Yes,Visa
SRV000372,CUST00965,2024-02-24,Post-Purchase,,5,4,Yes,Debit
SRV000373,CUST00776,2023-09-08,Annual,,3,1,Yes,Visa
SRV000374,CUST00956,2023-01-18,Post-Purchase,,5,2,No,Debit
SRV000375,CUST00934,2022-10-09,NPS,8.0,4,2,Yes,Debit
SRV000376,CUST00280,2024-07-23,Post-Purchase,,5,4,Maybe,Debit
SRV000377,CUST00427,2022-02-26,Annual,,3,1,Yes,Debit
SRV000378,CUST00529,2022-12-28,Post-Purchase,,5,3,No,Mastercard
SRV000379,CUST00636,2024-10-13,Annual,,5,2,Yes,Mastercard
SRV000380,CUST00411,2024-10-01,NPS,4.0,3,3,Yes,Visa
SRV000381,CUST00724,2024-08-23,NPS,5.0,2,4,Yes,Mastercard
SRV000382,CUST00060,2022-05-04,Post-Purchase,,5,2,No,Mastercard
SRV000383,CUST00641,2022-04-18,NPS,1.0,4,3,Yes,Debit
SRV000384,CUST00189,2023-08-18,Post-Purchase,,4,3,Maybe,Visa
SRV000385,CUST00507,2024-07-15,Post-Purchase,,4,4,Maybe,Cash
SRV000386,CUST00511,2024-02-06,Post-Purchase,,4,4,Yes,Visa
SRV000387,CUST00331,2024-03-17,Post-Purchase,,3,2,No,Gift Card
SRV000388,CUST00368,2024-10-15,Post-Purchase,,5,3,No,Mastercard
SRV000389,CUST00658,2024-04-04,NPS,10.0,3,3,Yes,Visa
SRV000390,CUST00408,2022-04-07,Annual,,3,5,Maybe,Debit
SRV000391,CUST00524,2024-08-20,NPS,10.0,4,5,No,Mastercard
SRV000392,CUST00192,2022-06-28,Post-Purchase,,4,4,Yes,Mastercard
SRV000393,CUST00157,2024-01-02,Post-Purchase,,4,4,Yes,Debit
SRV000394,CUST00354,2022-07-17,Post-Purchase,,4,1,Yes,Debit
SRV000395,CUST00143,2022-12-27,Post-Purchase,,2,4,Yes,Mastercard
SRV000396,CUST00515,2023-03-21,Post-Purchase,,4,4,Yes,Debit
SRV000397,CUST00329,2022-06-14,NPS,5.0,5,1,Yes,Mastercard
SRV000398,CUST00614,2022-06-01,Post-Purchase,,5,5,Maybe,Mastercard
SRV000399,CUST00032,2022-04-12,Post-Purchase,,4,3,No,Mastercard
SRV000400,CUST00554,2023-09-02,NPS,7.0,3,5,No,Debit
SRV000401,CUST00868,2023-08-07,NPS,7.0,1,1,Maybe,Mastercard
SRV000402,CUST00219,2024-12-26,NPS,10.0,5,1,Yes,Gift Card
SRV000403,CUST00735,2022-06-29,Post-Purchase,,5,5,Maybe,Mastercard
SRV000404,CUST00931,2024-08-21,Post-Purchase,,2,3,Yes,Mastercard
SRV000405,CUST00791,2022-03-12,Post-Purchase,,4,3,No,Mastercard
SRV000406,CUST00443,2022-07-13,Post-Purchase,,4,4,No,Debit
SRV000407,CUST00740,2023-12-12,NPS,4.0,2,5,No,Debit
SRV000408,CUST00730,2024-05-07,Post-Purchase,,3,5,Maybe,Cash
SRV000409,CUST00562,2022-06-17,Post-Purchase,,5,1,No,Mastercard
SRV000410,CUST00314,2022-10-12,Post-Purchase,,3,4,Yes,Debit
SRV000411,CUST00366,2023-09-19,NPS,6.0,3,1,Yes,Mastercard
SRV000412,CUST00250,2022-10-03,NPS,8.0,3,1,No,Gift Card
SRV000413,CUST00508,2024-06-12,NPS,9.0,5,3,Maybe,Mastercard
SRV000414,CUST00409,2024-04-12,NPS,6.0,3,4,Yes,Visa
SRV000415,CUST00564,2023-06-28,Post-Purchase,,5,4,Yes,Visa
SRV000416,CUST00173,2023-05-14,Post-Purchase,,4,5,Maybe,Mastercard
SRV000417,CUST00178,2023-03-17,Post-Purchase,,5,2,Yes,Mastercard
SRV000418,CUST00891,2024-05-20,Post-Purchase,,4,3,Yes,Visa
SRV000419,CUST00365,2023-12-27,Post-Purchase,,3,4,No,Visa
SRV000420,CUST00236,2022-03-05,Post-Purchase,,3,1,Yes,Debit
SRV000421,CUST00214,2024-02-14,NPS,7.0,5,5,No,Debit
SRV000422,CUST00525,2022-07-11,Post-Purchase,,5,3,Yes,Mastercard
SRV000423,CUST00622,2024-07-19,Post-Purchase,,4,4,Yes,Cash
SRV000424,CUST00208,2022-04-01,Post-Purchase,,3,3,Yes,Mastercard
SRV000425,CUST00938,2024-08-01,Annual,,5,2,No,Debit
SRV000426,CUST00634,2023-05-05,Post-Purchase,,4,3,Maybe,Cash
SRV000427,CUST00982,2023-02-20,Post-Purchase,,4,1,Yes,Visa
SRV000428,CUST00502,2024-09-26,Post-Purchase,,3,2,No,Visa
SRV000429,CUST00401,2023-02-19,Post-Purchase,,3,3,Yes,Debit
SRV000430,CUST00727,2024-09-29,Post-Purchase,,4,1,Yes,Visa
SRV000431,CUST00360,2022-01-26,NPS,7.0,4,3,Yes,Mastercard
SRV000432,CUST00612,2022-03-15,NPS,5.0,2,2,Yes,Mastercard
SRV000433,CUST00077,2023-09-30,Post-Purchase,,4,2,No,Mastercard
SRV000434,CUST00832,2024-06-12,Post-Purchase,,3,5,Maybe,Debit
SRV000435,CUST00989,2022-03-28,Post-Purchase,,3,4,Yes,Debit
SRV000436,CUST00457,2022-04-26,Post-Purchase,,5,2,Yes,Gift Card
SRV000437,CUST00835,2024-11-16,Post-Purchase,,3,4,No,Mastercard
SRV000438,CUST00706,2022-10-29,NPS,7.0,3,1,No,Gift Card
SRV000439,CUST00437,2023-08-05,Post-Purchase,,5,1,Maybe,Debit
SRV000440,CUST00508,2023-01-23,NPS,5.0,4,1,Yes,Mastercard
SRV000441,CUST00955,2023-02-02,NPS,4.0,4,4,Yes,Visa
SRV000442,CUST00918,2024-01-23,NPS,10.0,4,3,Maybe,Mastercard
SRV000443,CUST00272,2024-09-16,Annual,,5,5,Maybe,Mastercard
SRV000444,CUST00275,2022-06-15,Post-Purchase,,5,4,Maybe,Mastercard
SRV000445,CUST00692,2023-01-24,NPS,7.0,4,3,No,Mastercard
SRV000446,CUST00490,2022-08-11,NPS,1.0,5,2,Yes,Visa
SRV000447,CUST00968,2022-04-27,Annual,,5,3,No,Debit
SRV000448,CUST00654,2022-04-15,Post-Purchase,,4,1,Yes,Mastercard
SRV000449,CUST00046,2022-03-07,Post-Purchase,,2,2,Yes,Debit
SRV000450,CUST00321,2022-12-04,Annual,,4,4,Yes,Mastercard
SRV000451,CUST00485,2024-03-14,NPS,9.0,5,2,Maybe,Cash
SRV000452,CUST00618,2023-07-18,Annual,,3,5,No,Debit
SRV000453,CUST00128,2024-01-11,NPS,3.0,4,5,Maybe,Gift Card
SRV000454,CUST00026,2022-02-26,NPS,9.0,3,1,Maybe,Visa
SRV000455,CUST00666,2024-02-14,NPS,9.0,4,5,Yes,Mastercard
SRV000456,CUST00562,2022-03-04,Post-Purchase,,5,4,Maybe,Mastercard
SRV000457,CUST00922,2023-01-23,Post-Purchase,,4,2,Yes,Mastercard
SRV000458,CUST00757,2024-07-17,NPS,1.0,4,3,Yes,Visa
SRV000459,CUST00158,2023-01-21,Post-Purchase,,5,5,Yes,Debit
SRV000460,CUST00442,2023-06-24,Post-Purchase,,5,3,No,Mastercard
SRV000461,CUST00363,2022-05-17,Annual,,3,1,Yes,Debit
SRV000462,CUST00340,2024-07-23,NPS,10.0,3,4,Yes,Cash
SRV000463,CUST00570,2022-03-24,Post-Purchase,,5,1,No,Mastercard
SRV000464,CUST00344,2024-10-05,Post-Purchase,,3,3,Yes,Mastercard
SRV000465,CUST00853,2023-04-17,Annual,,4,5,Yes,Debit
SRV000466,CUST00523,2024-11-26,NPS,7.0,4,4,Yes,Visa
SRV000467,CUST00554,2023-05-15,NPS,1.0,5,4,No,Debit
SRV000468,CUST00124,2022-08-25,Post-Purchase,,2,4,No,Mastercard
SRV000469,CUST00322,2023-06-06,NPS,8.0,4,2,Yes,Debit
SRV000470,CUST00532,2022-04-20,Annual,,5,2,No,Mastercard
SRV000471,CUST00916,2023-04-23,NPS,4.0,3,2,Yes,Visa
SRV000472,CUST00509,2022-10-17,NPS,9.0,4,3,No,Mastercard
SRV000473,CUST00485,2023-05-04,Post-Purchase,,4,3,Yes,Cash
SRV000474,CUST00902,2023-06-27,NPS,8.0,5,3,Maybe,Mastercard
SRV000475,CUST00203,2023-10-18,NPS,6.0,3,4,Yes,Mastercard
SRV000476,CUST00454,2022-07-30,Post-Purchase,,2,1,Yes,Gift Card
SRV000477,CUST00916,2024-06-18,NPS,9.0,4,2,Maybe,Visa
SRV000478,CUST00999,2022-03-09,Annual,,2,3,Yes,Debit
SRV000479,CUST00376,2022-08-20,NPS,9.0,5,3,Yes,Debit
SRV000480,CUST00588,2023-01-16,Post-Purchase,,5,3,No,Visa
SRV000481,CUST00927,2024-12-05,Post-Purchase,,5,1,Yes,Visa
SRV000482,CUST00089,2024-01-08,NPS,9.0,2,2,No,Debit
SRV000483,CUST00405,2024-01-30,Post-Purchase,,5,3,Yes,Cash
SRV000484,CUST00770,2023-12-27,Annual,,3,2,No,Visa
SRV000485,CUST00785,2024-05-31,Post-Purchase,,5,2,Yes,Visa
SRV000486,CUST00001,2024-08-18,Post-Purchase,,2,2,Maybe,Mastercard
SRV000487,CUST00377,2024-11-21,Annual,,3,4,Yes,Debit
SRV000488,CUST00049,2023-05-05,Post-Purchase,,5,5,Yes,Debit
SRV000489,CUST00952,2023-11-13,NPS,8.0,3,4,Yes,Cash
SRV000490,CUST00380,2022-12-14,Annual,,4,2,Maybe,Debit
SRV000491,CUST00832,2024-06-06,Annual,,5,1,Yes,Debit
SRV000492,CUST00797,2022-11-27,Post-Purchase,,5,5,No,Debit
SRV000493,CUST00418,2022-11-28,Annual,,4,4,Maybe,Debit
SRV000494,CUST00619,2023-05-14,Post-Purchase,,1,4,Yes,Mastercard
SRV000495,CUST00939,2024-12-09,Post-Purchase,,5,3,Yes,Visa
SRV000496,CUST00258,2024-01-12,Annual,,4,2,Maybe,Visa
SRV000497,CUST00951,2023-04-30,NPS,6.0,2,4,Yes,Mastercard
SRV000498,CUST00041,2023-04-20,Post-Purchase,,5,4,Maybe,Mastercard
SRV000499,CUST00769,2023-04-26,NPS,7.0,2,5,No,Mastercard
SRV000500,CUST00473,2022-06-27,Post-Purchase,,3,5,Yes,Visa
SRV000501,CUST00115,2024-10-29,Annual,,3,2,No,Debit
SRV000502,CUST00186,2024-05-07,Post-Purchase,,4,4,Yes,Mastercard
SRV000503,CUST00350,2024-11-09,Post-Purchase,,3,2,No,Mastercard
SRV000504,CUST00269,2022-05-18,Annual,,4,1,Maybe,Visa
SRV000505,CUST00094,2023-12-28,NPS,8.0,4,2,Yes,Debit
SRV000506,CUST00879,2023-10-05,NPS,6.0,5,2,No,Gift Card
SRV000507,CUST00889,2022-01-22,Annual,,3,3,Maybe,Debit
SRV000508,CUST00485,2023-07-05,NPS,6.0,3,4,Yes,Cash
SRV000509,CUST00935,2023-03-25,Post-Purchase,,5,3,No,Visa
SRV000510,CUST00881,2023-11-30,NPS,7.0,5,5,No,Mastercard
SRV000511,CUST00810,2023-03-25,NPS,5.0,2,5,Maybe,Cash
SRV000512,CUST00432,2024-05-08,NPS,3.0,3,1,No,Debit
SRV000513,CUST00217,2024-03-16,Post-Purchase,,3,1,Yes,Cash
SRV000514,CUST00551,2023-03-08,Post-Purchase,,5,5,No,Visa
SRV000515,CUST00318,2022-01-29,NPS,3.0,2,5,Maybe,Visa
SRV000516,CUST00041,2022-01-07,NPS,10.0,4,4,Maybe,Mastercard
SRV000517,CUST00824,2022-11-21,Post-Purchase,,5,4,Yes,Mastercard
SRV000518,CUST00612,2023-10-06,NPS,8.0,5,1,No,Mastercard
SRV000519,CUST00905,2024-06-11,NPS,10.0,5,4,Yes,Debit
SRV000520,CUST00635,2022-01-12,Annual,,4,2,No,Mastercard
SRV000521,CUST00186,2024-04-01,Post-Purchase,,3,3,Yes,Mastercard
SRV000522,CUST00359,2022-03-10,NPS,5.0,5,5,Yes,Debit
SRV000523,CUST00122,2023-04-09,Annual,,4,1,No,Visa
SRV000524,CUST00870,2023-12-09,Post-Purchase,,5,5,Yes,Mastercard
SRV000525,CUST00386,2022-05-20,NPS,5.0,4,5,Yes,Visa
SRV000526,CUST00896,2024-12-09,Annual,,4,5,Yes,Visa
SRV000527,CUST00226,2024-02-01,NPS,10.0,5,5,No,Debit
SRV000528,CUST00702,2023-07-28,Post-Purchase,,5,5,Yes,Mastercard
SRV000529,CUST00293,2023-06-25,Post-Purchase,,5,5,Yes,Visa
SRV000530,CUST00486,2024-08-11,NPS,9.0,5,3,No,Mastercard
SRV000531,CUST00263,2022-04-30,Post-Purchase,,3,5,Yes,Visa
SRV000532,CUST00792,2022-06-05,Post-Purchase,,4,4,Yes,Cash
SRV000533,CUST00568,2024-11-25,NPS,2.0,5,1,No,Debit
SRV000534,CUST00189,2023-08-29,Post-Purchase,,1,1,Maybe,Visa
SRV000535,CUST00705,2022-09-03,NPS,10.0,4,2,No,Debit
SRV000536,CUST00243,2023-05-23,Post-Purchase,,3,4,No,Gift Card
SRV000537,CUST00317,2024-03-05,Post-Purchase,,5,3,Yes,Mastercard
SRV000538,CUST00854,2023-08-30,Annual,,5,5,Yes,Visa
SRV000539,CUST00932,2022-05-17,Annual,,5,3,Maybe,Mastercard
SRV000540,CUST00024,2023-03-05,NPS,6.0,4,5,No,Cash
SRV000541,CUST00605,2023-05-06,Annual,,3,2,Yes,Debit
SRV000542,CUST00856,2024-01-18,NPS,8.0,5,4,No,Mastercard
SRV000543,CUST00533,2022-04-29,Post-Purchase,,4,1,Yes,Mastercard
SRV000544,CUST00317,2024-08-09,NPS,8.0,3,2,Yes,Mastercard
SRV000545,CUST00350,2024-03-20,NPS,10.0,4,3,Maybe,Mastercard
SRV000546,CUST00915,2022-11-25,Post-Purchase,,5,1,No,Mastercard
SRV000547,CUST00931,2023-07-16,Post-Purchase,,4,2,Yes,Mastercard
SRV000548,CUST00157,2022-08-02,NPS,7.0,4,5,Maybe,Debit
SRV000549,CUST00743,2023-01-21,Post-Purchase,,3,5,Yes,Mastercard
SRV000550,CUST00015,2022-06-01,NPS,5.0,5,2,Yes,Visa
SRV000551,CUST00505,2024-09-19,Post-Purchase,,3,2,Maybe,Debit
SRV000552,CUST00280,2022-07-29,Post-Purchase,,2,4,Maybe,Debit
SRV000553,CUST00076,2023-04-16,NPS,9.0,3,4,No,Mastercard
SRV000554,CUST00421,2022-07-25,NPS,0.0,4,4,Yes,Mastercard
SRV000555,CUST00118,2022-08-25,Post-Purchase,,3,3,No,Mastercard
SRV000556,CUST00677,2024-11-02,Post-Purchase,,3,2,No,Debit
SRV000557,CUST00787,2024-03-15,NPS,6.0,5,2,Maybe,Visa
SRV000558,CUST00224,2024-02-11,Post-Purchase,,4,3,Yes,Mastercard
SRV000559,CUST00624,2022-07-08,Post-Purchase,,4,4,No,Mastercard
SRV000560,CUST00621,2024-10-19,Post-Purchase,,4,4,Yes,Debit
SRV000561,CUST00537,2022-03-05,Post-Purchase,,3,1,No,Debit
SRV000562,CUST00437,2022-05-13,NPS,8.0,5,3,Maybe,Debit
SRV000563,CUST00450,2022-06-11,Post-Purchase,,5,4,No,Mastercard
SRV000564,CUST00132,2024-06-25,Post-Purchase,,3,5,Yes,Visa
SRV000565,CUST00385,2022-01-12,Post-Purchase,,4,4,Yes,Mastercard
SRV000566,CUST00237,2022-07-24,Annual,,5,3,Yes,Mastercard
SRV000567,CUST00860,2023-02-05,Post-Purchase,,2,2,Yes,Mastercard
SRV000568,CUST00215,2022-09-25,Post-Purchase,,4,5,Yes,Mastercard
SRV000569,CUST00778,2022-07-27,NPS,6.0,5,4,Maybe,Visa
SRV000570,CUST00568,2023-11-03,Annual,,4,4,Yes,Debit
SRV000571,CUST00635,2023-06-08,NPS,10.0,4,4,No,Mastercard
SRV000572,CUST00531,2024-03-28,NPS,9.0,3,3,Maybe,Mastercard
SRV000573,CUST00980,2023-12-18,Annual,,1,5,No,Debit
SRV000574,CUST00073,2022-05-09,NPS,1.0,1,3,Yes,Visa
SRV000575,CUST00820,2023-04-23,Annual,,5,3,Yes,Mastercard
SRV000576,CUST00222,2022-11-02,Annual,,5,5,Yes,Mastercard
SRV000577,CUST00102,2024-01-11,Post-Purchase,,4,4,No,Mastercard
SRV000578,CUST00700,2023-01-09,Post-Purchase,,4,3,Yes,Cash
SRV000579,CUST00894,2023-08-27,Post-Purchase,,4,4,Yes,Mastercard
SRV000580,CUST00787,2023-03-03,Post-Purchase,,5,2,No,Visa
SRV000581,CUST00106,2023-03-13,NPS,3.0,5,2,Yes,Mastercard
SRV000582,CUST00477,2022-06-24,Post-Purchase,,5,4,Yes,Mastercard
SRV000583,CUST00349,2022-01-12,Post-Purchase,,5,3,Yes,Cash
SRV000584,CUST00376,2022-06-22,Annual,,2,2,No,Debit
SRV000585,CUST00875,2024-09-23,NPS,7.0,4,2,No,Mastercard
SRV000586,CUST00490,2024-01-10,NPS,10.0,3,2,No,Visa
SRV000587,CUST00115,2024-03-10,Post-Purchase,,4,5,No,Debit
SRV000588,CUST00605,2024-03-23,Post-Purchase,,4,5,No,Debit
SRV000589,CUST00314,2023-05-19,Post-Purchase,,3,2,Yes,Debit
SRV000590,CUST00313,2023-03-15,Annual,,5,1,Yes,Mastercard
SRV000591,CUST00896,2024-11-15,Annual,,5,4,No,Visa
SRV000592,CUST00967,2023-07-28,Post-Purchase,,4,2,Yes,Debit
SRV000593,CUST00959,2022-06-11,Post-Purchase,,4,3,Yes,Mastercard
SRV000594,CUST00805,2023-09-05,Post-Purchase,,4,1,No,Visa
SRV000595,CUST00861,2024-11-30,Post-Purchase,,5,4,No,Mastercard
SRV000596,CUST00063,2024-08-10,Post-Purchase,,4,3,Yes,Mastercard
SRV000597,CUST00871,2023-10-05,NPS,0.0,5,5,Maybe,Debit
SRV000598,CUST00797,2022-01-18,Post-Purchase,,5,5,Yes,Debit
SRV000599,CUST00686,2022-09-16,Annual,,4,1,Yes,Mastercard
SRV000600,CUST00715,2023-06-14,Post-Purchase,,5,1,No,Visa
SRV000601,CUST00529,2023-04-08,NPS,10.0,4,5,No,Mastercard
SRV000602,CUST00488,2022-10-18,Post-Purchase,,2,5,Yes,Debit
SRV000603,CUST00400,2023-11-20,Post-Purchase,,4,3,No,Mastercard
SRV000604,CUST00130,2022-02-04,Annual,,3,3,Maybe,Visa
SRV000605,CUST00138,2024-04-08,Post-Purchase,,2,5,Yes,Cash
SRV000606,CUST00728,2022-03-13,Post-Purchase,,5,3,Maybe,Mastercard
SRV000607,CUST00865,2023-01-11,Post-Purchase,,5,2,Maybe,Mastercard
SRV000608,CUST00661,2024-02-15,Annual,,5,3,Yes,Mastercard
SRV000609,CUST00345,2023-06-21,Post-Purchase,,2,2,No,Mastercard
SRV000610,CUST00774,2023-01-09,Post-Purchase,,5,1,Yes,Mastercard
SRV000611,CUST00180,2024-04-28,NPS,8.0,3,4,Yes,Debit
SRV000612,CUST00310,2022-04-09,Post-Purchase,,3,4,Yes,Gift Card
SRV000613,CUST00936,2022-04-22,NPS,7.0,4,3,Maybe,Mastercard
SRV000614,CUST00014,2022-03-20,Post-Purchase,,2,1,No,Mastercard
SRV000615,CUST00663,2022-03-25,NPS,9.0,5,3,Maybe,Mastercard
SRV000616,CUST00928,2024-02-26,Post-Purchase,,3,5,Yes,Mastercard
SRV000617,CUST00124,2023-02-13,NPS,8.0,4,2,Maybe,Mastercard
SRV000618,CUST00494,2024-08-06,Post-Purchase,,4,2,Yes,Cash
SRV000619,CUST00665,2023-06-24,NPS,8.0,4,2,Yes,Mastercard
SRV000620,CUST00500,2024-06-20,Post-Purchase,,5,3,Maybe,Mastercard
SRV000621,CUST00238,2022-04-06,Post-Purchase,,3,3,No,Debit
SRV000622,CUST00762,2024-07-22,Annual,,5,2,Maybe,Cash
SRV000623,CUST00628,2024-07-26,NPS,6.0,3,5,Yes,Debit
SRV000624,CUST00098,2023-08-13,Post-Purchase,,5,3,No,Debit
SRV000625,CUST00059,2023-09-26,Post-Purchase,,2,3,Maybe,Cash
SRV000626,CUST00807,2022-04-26,NPS,3.0,5,5,Yes,Cash
SRV000627,CUST00832,2024-03-16,Post-Purchase,,1,5,Yes,Debit
SRV000628,CUST00106,2023-06-28,Post-Purchase,,4,4,Yes,Mastercard
SRV000629,CUST00135,2023-05-06,NPS,9.0,4,2,Yes,Mastercard
SRV000630,CUST00897,2022-03-23,Annual,,4,5,Yes,Mastercard
SRV000631,CUST00045,2023-03-30,Annual,,4,2,Yes,Mastercard
SRV000632,CUST00871,2023-01-20,Post-Purchase,,3,5,Yes,Debit
SRV000633,CUST00711,2023-01-04,Post-Purchase,,1,4,No,Visa
SRV000634,CUST00586,2024-12-24,NPS,10.0,5,5,Maybe,Cash
SRV000635,CUST00707,2022-08-16,NPS,7.0,5,2,Yes,Mastercard
SRV000636,CUST00004,2022-07-13,Post-Purchase,,4,4,Yes,Debit
SRV000637,CUST00255,2022-11-03,Post-Purchase,,3,4,Maybe,Mastercard
SRV000638,CUST00807,2024-01-16,Post-Purchase,,4,1,Yes,Cash
SRV000639,CUST00873,2022-04-30,NPS,5.0,3,5,Yes,Debit
SRV000640,CUST00557,2022-01-10,Post-Purchase,,4,1,Maybe,Debit
SRV000641,CUST00108,2024-09-22,NPS,9.0,3,1,Yes,Mastercard
SRV000642,CUST00533,2022-11-01,NPS,8.0,5,1,No,Mastercard
SRV000643,CUST00371,2023-07-11,Post-Purchase,,3,3,No,Mastercard
SRV000644,CUST00812,2024-08-27,NPS,6.0,3,3,No,Mastercard
SRV000645,CUST00263,2023-12-04,Annual,,3,3,No,Visa
SRV000646,CUST00019,2022-05-21,Post-Purchase,,3,2,Yes,Mastercard
SRV000647,CUST00680,2024-02-10,Post-Purchase,,3,4,Yes,Debit
SRV000648,CUST00919,2024-09-20,Post-Purchase,,3,1,Maybe,Mastercard
SRV000649,CUST00342,2023-11-15,NPS,10.0,5,4,Maybe,Mastercard
SRV000650,CUST00896,2023-05-03,Post-Purchase,,2,1,Yes,Visa
SRV000651,CUST00656,2023-07-26,NPS,5.0,4,5,No,Debit
SRV000652,CUST00146,2023-01-01,NPS,7.0,4,4,Maybe,Cash
SRV000653,CUST00782,2023-12-05,Post-Purchase,,2,3,Yes,Cash
SRV000654,CUST00479,2024-07-18,NPS,8.0,5,5,Yes,Mastercard
SRV000655,CUST00361,2024-09-01,Annual,,3,5,Yes,Mastercard
SRV000656,CUST00128,2023-04-30,Post-Purchase,,4,5,No,Gift Card
SRV000657,CUST00840,2022-08-09,Post-Purchase,,4,4,Yes,Debit
SRV000658,CUST00238,2022-04-07,Post-Purchase,,4,3,Yes,Debit
SRV000659,CUST00860,2024-04-16,NPS,9.0,5,5,Maybe,Mastercard
SRV000660,CUST00881,2024-12-25,NPS,3.0,3,4,Yes,Mastercard
SRV000661,CUST00688,2022-09-18,Post-Purchase,,4,1,Yes,Cash
SRV000662,CUST00830,2024-08-19,Post-Purchase,,3,3,No,Visa
SRV000663,CUST00835,2023-09-04,Post-Purchase,,3,3,No,Mastercard
SRV000664,CUST00683,2023-11-04,Post-Purchase,,5,4,Yes,Mastercard
SRV000665,CUST00992,2024-02-18,Post-Purchase,,5,3,Yes,Mastercard
SRV000666,CUST00984,2022-10-02,Post-Purchase,,3,2,Maybe,Debit
SRV000667,CUST00634,2022-08-28,Post-Purchase,,5,3,Yes,Cash
SRV000668,CUST00296,2023-11-14,Post-Purchase,,3,1,Yes,Cash
SRV000669,CUST00338,2023-08-04,Post-Purchase,,4,1,Yes,Mastercard
SRV000670,CUST00335,2024-08-07,NPS,8.0,4,4,No,Cash
SRV000671,CUST00936,2022-02-26,Annual,,4,2,Maybe,Mastercard
SRV000672,CUST00052,2024-03-17,Post-Purchase,,5,2,Yes,Cash
SRV000673,CUST00346,2023-05-14,Post-Purchase,,5,3,No,Mastercard
SRV000674,CUST00089,2023-10-23,NPS,8.0,3,1,Yes,Debit
SRV000675,CUST00004,2024-05-03,Post-Purchase,,4,5,No,Debit
SRV000676,CUST00062,2022-09-14,NPS,7.0,3,2,Yes,Mastercard
SRV000677,CUST00269,2023-09-23,Post-Purchase,,4,5,Yes,Visa
SRV000678,CUST00436,2023-11-27,NPS,9.0,4,4,No,Mastercard
SRV000679,CUST00005,2024-01-25,NPS,10.0,5,3,Yes,Mastercard
SRV000680,CUST00027,2024-02-18,NPS,7.0,4,5,Maybe,Debit
SRV000681,CUST00455,2024-01-06,Annual,,3,1,Yes,Debit
SRV000682,CUST00266,2023-10-22,Post-Purchase,,4,2,Yes,Mastercard
SRV000683,CUST00150,2023-05-31,Post-Purchase,,3,1,Maybe,Visa
SRV000684,CUST00530,2024-12-28,Post-Purchase,,4,2,Maybe,Mastercard
SRV000685,CUST00460,2022-12-01,Post-Purchase,,5,2,Maybe,Mastercard
SRV000686,CUST00217,2023-04-29,NPS,3.0,5,1,Yes,Cash
SRV000687,CUST00461,2022-06-21,Post-Purchase,,4,1,Yes,Mastercard
SRV000688,CUST00974,2023-05-29,NPS,10.0,2,5,No,Gift Card
SRV000689,CUST00448,2024-10-27,Post-Purchase,,4,2,Yes,Visa
SRV000690,CUST00168,2024-06-03,Post-Purchase,,4,5,Yes,Gift Card
SRV000691,CUST00982,2023-11-17,Post-Purchase,,5,3,Yes,Visa
SRV000692,CUST00724,2023-09-25,NPS,8.0,5,5,No,Mastercard
SRV000693,CUST00958,2023-10-17,Post-Purchase,,4,4,Yes,Mastercard
SRV000694,CUST00158,2024-12-31,Post-Purchase,,4,1,Maybe,Debit
SRV000695,CUST00295,2022-05-26,Annual,,5,1,Yes,Visa
SRV000696,CUST00766,2022-10-31,Post-Purchase,,4,5,Yes,Visa
SRV000697,CUST00479,2023-04-25,NPS,10.0,4,4,Yes,Mastercard
SRV000698,CUST00332,2022-03-21,NPS,4.0,2,4,Yes,Visa
SRV000699,CUST00729,2023-06-11,NPS,7.0,4,3,No,Mastercard
SRV000700,CUST00901,2023-02-19,NPS,9.0,2,4,Yes,Visa
SRV000701,CUST00939,2023-05-26,Post-Purchase,,5,4,Yes,Visa
