engagement_id,customer_id,engagement_date,engagement_type,points_value,channel,session_duration_sec,conversion_flag
ENG000392,CUST00640,2022-03-08,App Login,0,In-Store,333,0
ENG000393,CUST00638,2022-10-14,App Login,0,In-Store,1063,0
ENG000394,CUST00986,2023-05-11,Promo Click,0,Mobile App,1284,1
ENG000395,CUST00604,2023-02-10,App Login,0,Mobile App,1037,0
ENG000396,CUST00323,2024-02-18,Points Earn,629,In-Store,0,0
ENG000397,CUST00320,2022-08-01,Points Earn,325,In-Store,0,0
ENG000398,CUST00514,2022-09-14,App Login,0,Online,225,0
ENG000399,CUST00418,2023-11-22,App Login,0,In-Store,914,0
ENG000400,CUST00741,2024-06-02,Promo Click,0,Mobile App,1002,0
ENG000401,CUST00229,2024-07-06,Promo Click,0,In-Store,696,0
ENG000402,CUST00035,2024-07-12,Points Redeem,280,In-Store,0,0
ENG000403,CUST00179,2022-01-02,Points Redeem,239,Mobile App,0,0
ENG000404,CUST00195,2023-04-12,Points Earn,207,In-Store,0,0
ENG000405,CUST00961,2023-12-08,Points Redeem,516,In-Store,0,0
ENG000406,CUST00208,2022-12-22,Promo Click,0,Online,98,0
ENG000407,CUST00936,2022-01-09,Promo Click,0,Online,1252,1
ENG000408,CUST00993,2023-04-24,Promo Click,0,Online,660,0
ENG000409,CUST00758,2022-09-18,App Login,0,Online,1290,0
ENG000410,CUST00498,2022-06-12,Points Earn,281,Online,0,0
ENG000411,CUST00480,2022-08-07,Points Earn,691,In-Store,0,0
ENG000412,CUST01000,2024-11-14,Promo Click,0,In-Store,310,0
ENG000413,CUST00191,2024-05-09,Promo Click,0,In-Store,1739,1
ENG000414,CUST00926,2022-04-20,App Login,0,In-Store,1438,0
ENG000415,CUST00007,2024-07-31,Points Earn,373,Mobile App,0,0
ENG000416,CUST00492,2024-03-16,Points Redeem,80,In-Store,0,0
ENG000417,CUST00878,2022-02-23,Points Earn,88,In-Store,0,0
ENG000418,CUST00835,2022-03-29,Points Earn,256,Online,0,0
ENG000419,CUST00893,2022-11-15,Points Redeem,210,Online,0,0
ENG000420,CUST00918,2024-11-25,Points Earn,250,In-Store,0,0
ENG000421,CUST00237,2023-10-25,Points Earn,380,Online,0,0
ENG000422,CUST00117,2022-08-25,Points Earn,392,In-Store,0,0
ENG000423,CUST00997,2023-07-11,Referral,0,In-Store,0,0
ENG000424,CUST00359,2024-10-06,Promo Click,0,Mobile App,570,1
ENG000425,CUST00242,2024-08-04,Points Redeem,139,In-Store,0,0
ENG000426,CUST00840,2023-10-31,Points Earn,20,In-Store,0,0
ENG000427,CUST00191,2023-03-01,Promo Click,0,In-Store,1357,0
ENG000428,CUST00008,2022-10-11,Promo Click,0,Online,446,0
ENG000429,CUST00819,2024-08-14,Points Redeem,76,Online,0,0
ENG000430,CUST00120,2024-04-10,App Login,0,In-Store,745,0
ENG000431,CUST00077,2023-09-26,Points Earn,506,In-Store,0,0
ENG000432,CUST00204,2022-10-30,Points Redeem,398,In-Store,0,0
ENG000433,CUST00061,2024-08-02,Points Earn,124,In-Store,0,0
ENG000434,CUST00881,2024-12-15,App Login,0,In-Store,185,0
ENG000435,CUST00653,2024-02-17,Points Redeem,29,Mobile App,0,0
ENG000436,CUST00517,2023-11-10,Points Earn,522,In-Store,0,0
ENG000437,CUST00509,2022-06-01,Promo Click,0,Mobile App,61,0
ENG000438,CUST00684,2024-12-27,Promo Click,0,Online,52,0
ENG000439,CUST00370,2022-04-20,Points Redeem,154,In-Store,0,0
ENG000440,CUST00824,2022-08-06,Points Redeem,243,Online,0,0
ENG000441,CUST00678,2023-10-15,Referral,0,In-Store,0,0
ENG000442,CUST00604,2023-11-06,Points Earn,186,In-Store,0,0
ENG000443,CUST00665,2022-10-16,Points Earn,376,In-Store,0,0
ENG000444,CUST00967,2022-05-06,Points Redeem,186,In-Store,0,0
ENG000445,CUST00749,2022-08-29,Points Earn,94,In-Store,0,0
ENG000446,CUST00063,2022-01-17,Points Redeem,598,Online,0,0
ENG000447,CUST00460,2023-10-12,Points Redeem,196,In-Store,0,0
ENG000448,CUST00228,2024-12-14,Points Earn,372,In-Store,0,0
ENG000449,CUST00587,2023-06-28,Points Earn,69,In-Store,0,0
ENG000450,CUST00608,2023-07-06,Points Redeem,787,Online,0,0
ENG000451,CUST00308,2023-11-03,Promo Click,0,In-Store,1722,0
ENG000452,CUST00834,2023-05-02,Points Earn,65,Online,0,0
ENG000453,CUST00374,2023-03-23,Points Redeem,416,Mobile App,0,0
ENG000454,CUST00569,2023-10-22,Points Earn,251,Mobile App,0,0
ENG000455,CUST00117,2022-11-04,Promo Click,0,Online,1102,0
ENG000456,CUST00820,2024-07-18,Points Earn,230,Online,0,0
ENG000457,CUST00390,2023-05-22,Points Earn,51,Online,0,0
ENG000458,CUST00734,2022-08-30,Promo Click,0,Online,1731,1
ENG000459,CUST00481,2022-08-05,Referral,0,In-Store,0,0
ENG000460,CUST00005,2022-07-01,Points Earn,766,Online,0,0
ENG000461,CUST00092,2023-08-29,Promo Click,0,Online,447,0
ENG000462,CUST00574,2023-11-19,App Login,0,In-Store,1488,0
ENG000463,CUST00014,2023-04-28,Promo Click,0,Online,673,0
ENG000464,CUST00114,2023-02-03,Points Redeem,316,In-Store,0,0
ENG000465,CUST00130,2023-10-15,Promo Click,0,Online,793,0
ENG000466,CUST00467,2022-10-04,Points Redeem,699,In-Store,0,0
ENG000467,CUST00232,2023-10-22,Points Earn,332,Online,0,0
ENG000468,CUST00842,2022-09-06,App Login,0,In-Store,1087,0
ENG000469,CUST00826,2024-12-05,Referral,0,In-Store,0,0
ENG000470,CUST00537,2023-04-14,Referral,0,In-Store,0,0
ENG000471,CUST00167,2024-10-19,Points Earn,64,In-Store,0,0
ENG000472,CUST00239,2022-08-31,App Login,0,Online,1716,0
ENG000473,CUST00556,2024-11-14,Promo Click,0,Mobile App,1129,0
ENG000474,CUST00688,2022-02-10,Points Redeem,184,In-Store,0,0
ENG000475,CUST00962,2022-09-25,Referral,0,In-Store,0,0
ENG000476,CUST00583,2022-07-22,Points Earn,17,Online,0,0
ENG000477,CUST00935,2023-12-26,App Login,0,Online,462,0
ENG000478,CUST00117,2024-01-28,Promo Click,0,Online,1519,1
ENG000479,CUST00784,2022-09-08,Points Redeem,80,Online,0,0
ENG000480,CUST00763,2024-04-08,Points Earn,15,Online,0,0
ENG000481,CUST00128,2023-06-10,Points Earn,148,Online,0,0
ENG000482,CUST00452,2024-03-11,App Login,0,Online,593,0
ENG000483,CUST00212,2022-06-14,App Login,0,In-Store,943,0
ENG000484,CUST00903,2024-08-05,Promo Click,0,In-Store,342,1
ENG000485,CUST00268,2023-01-28,Promo Click,0,Mobile App,165,1
ENG000486,CUST00674,2024-07-30,Promo Click,0,In-Store,1658,1
ENG000487,CUST00773,2024-02-11,Points Earn,301,Online,0,0
ENG000488,CUST00166,2023-05-19,Points Redeem,34,In-Store,0,0
ENG000489,CUST00789,2022-03-23,Promo Click,0,Mobile App,1575,1
ENG000490,CUST00976,2024-08-27,Promo Click,0,In-Store,1012,0
ENG000491,CUST00939,2022-08-02,App Login,0,In-Store,207,0
ENG000492,CUST00335,2023-04-05,Promo Click,0,Online,1648,0
ENG000493,CUST00111,2023-04-26,Promo Click,0,Online,1385,1
ENG000494,CUST00259,2022-02-01,Points Earn,732,Mobile App,0,0
ENG000495,CUST00507,2022-07-25,Points Redeem,47,In-Store,0,0
ENG000496,CUST00427,2023-08-29,Points Earn,197,Online,0,0
ENG000497,CUST00205,2024-12-05,Points Earn,498,Online,0,0
ENG000498,CUST00329,2023-05-21,Points Earn,149,Online,0,0
ENG000499,CUST00536,2023-03-09,Points Earn,185,Online,0,0
ENG000500,CUST00747,2023-03-07,App Login,0,Mobile App,1036,0
ENG000501,CUST00304,2022-12-30,Promo Click,0,Online,703,0
ENG000502,CUST00215,2022-10-11,Points Earn,69,Online,0,0
ENG000503,CUST00919,2023-05-28,Points Earn,754,In-Store,0,0
ENG000504,CUST00199,2022-12-22,Referral,0,In-Store,0,0
ENG000505,CUST00751,2024-06-11,Points Earn,193,In-Store,0,0
ENG000506,CUST00198,2022-02-25,Points Earn,664,In-Store,0,0
ENG000507,CUST00219,2022-05-15,Promo Click,0,Mobile App,46,1
ENG000508,CUST00153,2024-01-31,Promo Click,0,Online,948,1
ENG000509,CUST00032,2023-05-06,Promo Click,0,Mobile App,75,1
ENG000510,CUST00661,2022-01-08,App Login,0,In-Store,992,0
ENG000511,CUST00563,2024-01-20,Points Earn,68,In-Store,0,0
ENG000512,CUST00319,2023-02-19,Points Earn,92,In-Store,0,0
ENG000513,CUST00521,2023-09-12,Points Earn,120,In-Store,0,0
ENG000514,CUST00815,2023-06-23,App Login,0,Mobile App,1087,0
ENG000515,CUST00765,2023-06-01,Points Redeem,135,Online,0,0
ENG000516,CUST00502,2024-02-05,Points Redeem,192,Online,0,0
ENG000517,CUST00663,2024-09-18,Promo Click,0,In-Store,1719,0
ENG000518,CUST00097,2022-04-12,Promo Click,0,In-Store,1158,0
ENG000519,CUST00977,2022-01-03,Points Earn,752,In-Store,0,0
ENG000520,CUST00964,2022-07-04,Points Earn,165,In-Store,0,0
ENG000521,CUST00650,2023-07-14,Promo Click,0,In-Store,1351,0
ENG000522,CUST00357,2024-04-12,Promo Click,0,In-Store,1390,1
ENG000523,CUST00418,2022-01-01,Points Earn,176,In-Store,0,0
ENG000524,CUST00147,2022-02-02,App Login,0,In-Store,1565,0
ENG000525,CUST00789,2022-09-27,Points Earn,742,In-Store,0,0
ENG000526,CUST00650,2022-10-13,Points Earn,519,Online,0,0
ENG000527,CUST00672,2023-05-20,Points Earn,291,In-Store,0,0
ENG000528,CUST00389,2022-11-22,Points Earn,249,Online,0,0
ENG000529,CUST00875,2023-12-02,Points Earn,508,Mobile App,0,0
ENG000530,CUST00470,2024-03-12,App Login,0,Mobile App,1695,0
ENG000531,CUST00209,2022-01-20,Referral,0,In-Store,0,0
ENG000532,CUST00092,2023-06-12,Promo Click,0,In-Store,1314,0
ENG000533,CUST00170,2022-06-15,Referral,0,Mobile App,0,0
ENG000534,CUST00615,2024-08-15,Points Earn,180,Mobile App,0,0
ENG000535,CUST00540,2022-08-14,Promo Click,0,In-Store,1621,1
ENG000536,CUST00972,2024-03-06,App Login,0,In-Store,889,0
ENG000537,CUST00604,2024-12-21,Points Redeem,716,Online,0,0
ENG000538,CUST00653,2023-07-18,Referral,0,In-Store,0,0
ENG000539,CUST00173,2023-05-13,Promo Click,0,In-Store,1269,0
ENG000540,CUST00254,2022-12-29,Points Redeem,295,Online,0,0
ENG000541,CUST00456,2024-11-14,App Login,0,Mobile App,459,0
ENG000542,CUST00131,2023-09-17,Promo Click,0,In-Store,1058,1
ENG000543,CUST00772,2024-11-10,App Login,0,In-Store,101,0
ENG000544,CUST00421,2023-10-11,Points Earn,707,In-Store,0,0
ENG000545,CUST00925,2023-10-08,Points Earn,190,Mobile App,0,0
ENG000546,CUST00953,2022-02-28,App Login,0,In-Store,151,0
ENG000547,CUST00079,2022-11-13,Points Redeem,355,In-Store,0,0
ENG000548,CUST00123,2024-05-30,Points Earn,511,Online,0,0
ENG000549,CUST00414,2023-05-11,Points Redeem,65,Online,0,0
ENG000550,CUST00197,2022-06-04,Promo Click,0,Online,1747,0
ENG000551,CUST00400,2024-11-24,Promo Click,0,Online,1376,0
ENG000552,CUST00030,2022-06-23,Promo Click,0,In-Store,1173,1
ENG000553,CUST00194,2022-06-21,Points Redeem,96,Online,0,0
ENG000554,CUST00620,2024-07-20,Promo Click,0,In-Store,416,1
ENG000555,CUST00435,2022-05-29,Points Earn,184,In-Store,0,0
ENG000556,CUST00841,2024-12-08,Points Redeem,13,In-Store,0,0
ENG000557,CUST00923,2023-05-31,Points Earn,675,Online,0,0
ENG000558,CUST00587,2024-06-07,Points Earn,359,Online,0,0
ENG000559,CUST00395,2024-05-02,Points Earn,106,In-Store,0,0
ENG000560,CUST00881,2023-12-17,Points Redeem,627,In-Store,0,0
ENG000561,CUST00082,2023-04-21,Points Earn,148,Online,0,0
ENG000562,CUST00617,2022-04-15,Points Redeem,403,Online,0,0
ENG000563,CUST00713,2023-06-27,Points Redeem,60,In-Store,0,0
ENG000564,CUST00452,2022-06-14,Points Redeem,668,In-Store,0,0
ENG000565,CUST00084,2024-08-11,Points Earn,124,Online,0,0
ENG000566,CUST00472,2022-12-29,Points Earn,238,In-Store,0,0
ENG000567,CUST00112,2022-12-25,Points Earn,25,In-Store,0,0
ENG000568,CUST00568,2024-02-09,Points Earn,159,Mobile App,0,0
ENG000569,CUST00292,2024-08-09,Points Earn,262,Online,0,0
ENG000570,CUST00125,2022-09-19,Promo Click,0,Mobile App,406,0
ENG000571,CUST00008,2023-02-03,Promo Click,0,In-Store,616,0
ENG000572,CUST00486,2022-02-17,Points Earn,238,Mobile App,0,0
ENG000573,CUST00019,2023-03-24,Points Earn,745,Mobile App,0,0
ENG000574,CUST00859,2022-08-01,Promo Click,0,In-Store,1700,1
ENG000575,CUST00203,2022-04-28,App Login,0,In-Store,264,0
ENG000576,CUST00811,2023-05-17,Promo Click,0,Online,775,1
ENG000577,CUST00665,2024-09-17,Points Earn,169,In-Store,0,0
ENG000578,CUST00111,2022-05-23,Points Earn,163,In-Store,0,0
ENG000579,CUST00464,2024-12-24,Promo Click,0,In-Store,459,0
ENG000580,CUST00922,2022-10-19,Points Redeem,715,In-Store,0,0
ENG000581,CUST00326,2022-01-30,Points Earn,153,In-Store,0,0
ENG000582,CUST00110,2023-12-04,Points Redeem,237,In-Store,0,0
ENG000583,CUST00504,2024-02-10,App Login,0,Online,269,0
ENG000584,CUST00032,2024-12-07,App Login,0,In-Store,760,0
ENG000585,CUST00381,2022-02-01,Promo Click,0,In-Store,1031,0
ENG000586,CUST00507,2023-08-14,Promo Click,0,Online,1743,1
ENG000587,CUST00597,2024-11-16,Referral,0,Online,0,0
ENG000588,CUST00668,2024-08-21,Promo Click,0,In-Store,635,1
ENG000589,CUST00707,2024-07-24,App Login,0,Online,135,0
ENG000590,CUST00045,2023-12-27,Points Earn,252,In-Store,0,0
ENG000591,CUST00598,2024-03-16,Points Redeem,617,Mobile App,0,0
ENG000592,CUST00120,2022-08-12,Promo Click,0,Mobile App,1099,0
ENG000593,CUST00917,2024-08-29,Promo Click,0,In-Store,1225,0
ENG000594,CUST00881,2024-09-12,Points Earn,739,In-Store,0,0
ENG000595,CUST00891,2024-07-23,Points Earn,111,Online,0,0
ENG000596,CUST00822,2024-01-19,Points Earn,139,In-Store,0,0
ENG000597,CUST00606,2022-03-24,Points Redeem,35,Online,0,0
ENG000598,CUST00620,2023-02-17,Points Redeem,125,Mobile App,0,0
ENG000599,CUST00973,2022-06-18,Promo Click,0,In-Store,1192,0
ENG000600,CUST00593,2024-06-22,Promo Click,0,In-Store,1408,0
ENG000601,CUST00484,2022-09-05,App Login,0,In-Store,279,0
ENG000602,CUST00932,2022-09-24,Points Earn,112,Online,0,0
ENG000603,CUST00302,2022-05-12,Points Redeem,429,Mobile App,0,0
ENG000604,CUST00545,2023-08-16,App Login,0,In-Store,183,0
ENG000605,CUST00403,2022-06-13,Promo Click,0,In-Store,436,1
ENG000606,CUST00198,2022-11-11,Promo Click,0,Online,1368,0
ENG000607,CUST00635,2024-08-11,Points Redeem,115,Online,0,0
ENG000608,CUST00271,2023-03-05,Points Redeem,521,In-Store,0,0
ENG000609,CUST00976,2022-11-03,Points Redeem,385,Mobile App,0,0
ENG000610,CUST00196,2022-12-07,Promo Click,0,Online,770,0
ENG000611,CUST00669,2023-12-02,Points Earn,479,In-Store,0,0
ENG000612,CUST00558,2023-03-01,Referral,0,Online,0,0
ENG000613,CUST00668,2024-02-20,Points Earn,434,Online,0,0
ENG000614,CUST00120,2022-11-23,Promo Click,0,Online,275,0
ENG000615,CUST00972,2022-11-24,Promo Click,0,In-Store,1709,0
ENG000616,CUST00626,2022-04-29,Points Redeem,634,Mobile App,0,0
ENG000617,CUST00288,2022-11-03,App Login,0,In-Store,568,0
ENG000618,CUST00204,2023-09-03,Points Redeem,651,Online,0,0
ENG000619,CUST00199,2024-03-12,Points Earn,726,Online,0,0
ENG000620,CUST00608,2022-04-24,Points Earn,583,In-Store,0,0
ENG000621,CUST00282,2022-09-01,Points Redeem,45,Online,0,0
ENG000622,CUST00790,2022-10-29,Promo Click,0,In-Store,1130,1
ENG000623,CUST00178,2024-06-29,Points Earn,453,In-Store,0,0
ENG000624,CUST00322,2023-01-03,Points Redeem,113,In-Store,0,0
ENG000625,CUST00486,2022-07-31,Points Redeem,230,In-Store,0,0
ENG000626,CUST00306,2022-07-19,Promo Click,0,In-Store,983,1
ENG000627,CUST00305,2023-01-29,App Login,0,In-Store,774,0
ENG000628,CUST00651,2024-08-14,Points Redeem,588,In-Store,0,0
ENG000629,CUST00391,2022-09-09,Promo Click,0,In-Store,1309,0
ENG000630,CUST00228,2024-02-10,Points Earn,95,In-Store,0,0
ENG000631,CUST00123,2022-08-05,Promo Click,0,Online,636,0
ENG000632,CUST00294,2024-02-07,Points Earn,554,Online,0,0
ENG000633,CUST00304,2023-08-04,Promo Click,0,In-Store,890,1
ENG000634,CUST00331,2024-10-24,Points Redeem,172,Online,0,0
ENG000635,CUST00037,2022-10-15,Points Earn,110,Online,0,0
ENG000636,CUST00996,2024-04-11,Points Redeem,25,Online,0,0
ENG000637,CUST00275,2022-04-14,Promo Click,0,In-Store,606,1
ENG000638,CUST00668,2023-01-01,Promo Click,0,In-Store,86,0
ENG000639,CUST00957,2024-11-22,Points Redeem,548,In-Store,0,0
ENG000640,CUST00972,2023-08-15,Points Earn,134,In-Store,0,0
ENG000641,CUST00277,2022-12-24,Promo Click,0,In-Store,951,0
ENG000642,CUST00679,2024-05-18,App Login,0,In-Store,826,0
ENG000643,CUST00022,2024-12-14,Points Earn,103,Online,0,0
ENG000644,CUST00389,2022-04-20,Referral,0,In-Store,0,0
ENG000645,CUST00760,2023-05-06,Points Earn,131,In-Store,0,0
ENG000646,CUST00419,2022-03-04,Points Earn,198,In-Store,0,0
ENG000647,CUST00829,2023-01-06,Points Earn,118,In-Store,0,0
ENG000648,CUST00598,2022-08-23,Points Redeem,713,In-Store,0,0
ENG000649,CUST00153,2022-05-24,Points Redeem,455,Online,0,0
ENG000650,CUST00300,2023-05-04,Points Earn,153,In-Store,0,0
ENG000651,CUST00171,2022-06-21,Points Earn,115,Mobile App,0,0
ENG000652,CUST00384,2024-01-26,Promo Click,0,In-Store,396,1
ENG000653,CUST00407,2023-07-06,Points Earn,144,In-Store,0,0
ENG000654,CUST00709,2023-06-02,Promo Click,0,In-Store,32,0
ENG000655,CUST00601,2023-10-29,Points Earn,56,Online,0,0
ENG000656,CUST00576,2024-04-27,Points Earn,134,In-Store,0,0
ENG000657,CUST00958,2023-09-04,App Login,0,In-Store,1304,0
ENG000658,CUST00102,2023-08-03,Points Earn,504,In-Store,0,0
ENG000659,CUST00817,2023-12-19,App Login,0,In-Store,1780,0
ENG000660,CUST00807,2022-08-24,Points Earn,157,In-Store,0,0
ENG000661,CUST00829,2022-07-25,Referral,0,In-Store,0,0
ENG000662,CUST00596,2023-12-23,Points Redeem,183,Mobile App,0,0
ENG000663,CUST00730,2023-09-06,Points Earn,94,Mobile App,0,0
ENG000664,CUST00468,2024-05-24,Points Earn,712,In-Store,0,0
ENG000665,CUST00957,2024-10-28,App Login,0,Online,754,0
ENG000666,CUST00521,2024-05-09,Points Redeem,289,In-Store,0,0
ENG000667,CUST00596,2023-08-07,Points Redeem,367,In-Store,0,0
ENG000668,CUST00682,2024-11-15,Points Earn,44,In-Store,0,0
ENG000669,CUST00784,2023-07-10,Referral,0,Mobile App,0,0
ENG000670,CUST00322,2023-05-05,Referral,0,Online,0,0
ENG000671,CUST00922,2023-06-22,Points Redeem,755,Online,0,0
ENG000672,CUST00421,2022-06-27,App Login,0,Online,1616,0
ENG000673,CUST00536,2023-06-22,Points Redeem,132,Online,0,0
ENG000674,CUST00910,2024-04-29,Promo Click,0,In-Store,1141,0
ENG000675,CUST00337,2022-05-20,Promo Click,0,Online,699,1
ENG000676,CUST00881,2023-01-24,Promo Click,0,In-Store,138,0
ENG000677,CUST00329,2023-05-20,Points Earn,328,In-Store,0,0
ENG000678,CUST00175,2024-05-30,Referral,0,In-Store,0,0
ENG000679,CUST00919,2023-08-17,App Login,0,In-Store,586,0
ENG000680,CUST00459,2023-12-02,App Login,0,Online,1080,0
ENG000681,CUST00451,2023-12-29,Points Redeem,421,In-Store,0,0
ENG000682,CUST00001,2023-05-30,App Login,0,In-Store,1283,0
ENG000683,CUST00668,2022-03-24,Points Redeem,98,Online,0,0
ENG000684,CUST00553,2024-11-20,App Login,0,Mobile App,76,0
ENG000685,CUST00026,2022-07-19,App Login,0,In-Store,321,0
ENG000686,CUST00900,2023-07-30,App Login,0,Online,308,0
ENG000687,CUST00330,2022-10-27,Promo Click,0,Online,399,1
ENG000688,CUST00035,2022-08-11,Points Earn,405,In-Store,0,0
ENG000689,CUST00030,2022-08-29,Promo Click,0,Online,754,0
ENG000690,CUST00928,2022-02-26,App Login,0,In-Store,1157,0
ENG000691,CUST00228,2023-08-31,Promo Click,0,Mobile App,709,0
ENG000692,CUST00072,2023-02-02,Points Earn,85,In-Store,0,0
ENG000693,CUST00580,2022-10-17,App Login,0,Mobile App,1778,0
ENG000694,CUST00643,2024-06-12,Promo Click,0,Online,568,0
ENG000695,CUST00343,2023-02-06,Promo Click,0,Online,1149,0
ENG000696,CUST00333,2022-05-08,Promo Click,0,Online,1418,0
ENG000697,CUST00416,2023-01-20,Points Redeem,693,In-Store,0,0
ENG000698,CUST00182,2024-01-19,Promo Click,0,Mobile App,570,0
ENG000699,CUST00139,2024-04-21,Points Earn,631,In-Store,0,0
ENG000700,CUST00295,2024-09-21,Points Earn,168,Online,0,0
ENG000701,CUST00564,2023-04-25,Promo Click,0,In-Store,295,0
ENG000702,CUST00177,2022-02-24,Promo Click,0,Online,141,1
ENG000703,CUST00361,2024-07-25,App Login,0,In-Store,382,0
ENG000704,CUST00433,2022-11-06,App Login,0,Mobile App,1364,0
ENG000705,CUST00472,2023-08-26,Points Redeem,228,Online,0,0
ENG000706,CUST00453,2024-11-29,Points Earn,235,Online,0,0
ENG000707,CUST00566,2024-07-09,Promo Click,0,Online,819,0
ENG000708,CUST00162,2023-09-13,Promo Click,0,Online,1143,0
ENG000709,CUST00423,2023-08-09,Points Earn,220,In-Store,0,0
ENG000710,CUST00361,2023-12-25,Referral,0,Mobile App,0,0
ENG000711,CUST00009,2022-08-12,Points Redeem,636,In-Store,0,0
ENG000712,CUST00381,2022-07-26,Promo Click,0,In-Store,1288,1
ENG000713,CUST00833,2023-07-22,Promo Click,0,In-Store,1489,0
ENG000714,CUST00442,2023-04-19,Referral,0,Online,0,0
ENG000715,CUST00121,2022-07-11,Points Earn,166,In-Store,0,0
ENG000716,CUST00597,2024-07-23,Promo Click,0,Online,53,0
ENG000717,CUST00460,2024-12-03,Promo Click,0,Mobile App,283,0
ENG000718,CUST00626,2022-05-09,Points Redeem,588,In-Store,0,0
ENG000719,CUST00999,2022-11-05,Points Redeem,190,In-Store,0,0
ENG000720,CUST00175,2022-10-14,App Login,0,In-Store,1635,0
ENG000721,CUST00416,2023-12-15,Promo Click,0,In-Store,108,1
ENG000722,CUST00149,2023-04-08,Promo Click,0,In-Store,190,0
ENG000723,CUST00127,2024-04-15,Promo Click,0,In-Store,1677,1
ENG000724,CUST00067,2023-03-02,Promo Click,0,Online,618,0
ENG000725,CUST00710,2023-07-13,Points Redeem,14,Online,0,0
ENG000726,CUST00828,2024-10-04,Promo Click,0,In-Store,773,1
ENG000727,CUST00522,2024-01-06,Promo Click,0,In-Store,333,0
ENG000728,CUST00486,2023-08-17,Points Earn,166,In-Store,0,0
ENG000729,CUST00959,2023-03-30,Points Earn,760,Mobile App,0,0
ENG000730,CUST00251,2024-10-09,Promo Click,0,Online,1654,1
ENG000731,CUST00998,2024-10-27,Points Earn,124,Online,0,0
ENG000732,CUST00404,2023-01-07,App Login,0,In-Store,462,0
ENG000733,CUST00566,2022-03-27,Points Earn,728,In-Store,0,0
ENG000734,CUST00821,2023-11-28,Promo Click,0,Mobile App,76,0
ENG000735,CUST00316,2024-08-03,App Login,0,In-Store,1126,0
ENG000736,CUST00689,2024-09-01,Promo Click,0,In-Store,1295,0
ENG000737,CUST00503,2022-01-20,Points Earn,24,Online,0,0
ENG000738,CUST00811,2022-04-23,Points Earn,119,In-Store,0,0
ENG000739,CUST00120,2024-11-12,Points Redeem,518,In-Store,0,0
ENG000740,CUST00465,2022-12-29,Points Earn,160,Online,0,0
ENG000741,CUST00058,2022-02-11,Points Earn,467,In-Store,0,0
ENG000742,CUST00918,2024-01-24,Points Earn,346,Online,0,0
ENG000743,CUST00870,2024-09-25,Promo Click,0,In-Store,37,0
ENG000744,CUST00211,2024-05-01,App Login,0,Mobile App,285,0
ENG000745,CUST00330,2022-05-03,Points Redeem,457,In-Store,0,0
ENG000746,CUST00338,2024-11-29,App Login,0,In-Store,662,0
ENG000747,CUST00277,2022-04-21,Promo Click,0,In-Store,213,1
ENG000748,CUST00249,2023-11-11,Promo Click,0,In-Store,1668,1
ENG000749,CUST00366,2024-04-12,Points Redeem,646,In-Store,0,0
ENG000750,CUST00602,2022-04-30,Points Earn,155,Mobile App,0,0
ENG000751,CUST00808,2024-07-15,App Login,0,In-Store,263,0
ENG000752,CUST00463,2023-10-30,Points Earn,34,In-Store,0,0
ENG000753,CUST00742,2024-04-05,Points Redeem,89,In-Store,0,0
ENG000754,CUST00140,2024-05-10,Promo Click,0,In-Store,1196,0
ENG000755,CUST00877,2024-05-07,Points Earn,57,Online,0,0
ENG000756,CUST00248,2023-08-22,Points Earn,41,Mobile App,0,0
ENG000757,CUST00729,2022-09-25,Referral,0,In-Store,0,0
ENG000758,CUST00421,2024-01-27,Points Earn,735,Online,0,0
ENG000759,CUST00540,2024-06-12,Points Redeem,194,In-Store,0,0
ENG000760,CUST00639,2023-05-25,App Login,0,Online,838,0
ENG000761,CUST00624,2022-11-17,Promo Click,0,In-Store,62,1
ENG000762,CUST00958,2024-03-12,Points Redeem,765,In-Store,0,0
ENG000763,CUST00875,2022-12-28,Points Redeem,220,Online,0,0
ENG000764,CUST00804,2023-11-28,Promo Click,0,In-Store,350,1
ENG000765,CUST00123,2024-08-11,Points Earn,458,Online,0,0
ENG000766,CUST00239,2022-02-08,App Login,0,Online,410,0
ENG000767,CUST00607,2022-02-28,Points Earn,331,Online,0,0
ENG000768,CUST00914,2022-07-29,Points Earn,120,In-Store,0,0
ENG000769,CUST00002,2024-11-27,Points Earn,204,Online,0,0
ENG000770,CUST00224,2023-09-16,Points Earn,713,In-Store,0,0
ENG000771,CUST00470,2022-12-11,Points Earn,267,In-Store,0,0
ENG000772,CUST00548,2022-08-18,Promo Click,0,In-Store,1541,1
ENG000773,CUST00675,2024-03-16,Points Earn,784,In-Store,0,0
ENG000774,CUST00526,2023-05-01,Referral,0,In-Store,0,0
ENG000775,CUST00431,2023-01-23,Points Earn,308,In-Store,0,0
ENG000776,CUST00652,2023-01-19,Promo Click,0,Mobile App,1484,1
ENG000777,CUST00862,2024-12-15,Promo Click,0,In-Store,1530,0
ENG000778,CUST00756,2023-02-15,Points Redeem,85,In-Store,0,0
ENG000779,CUST00277,2022-07-02,Referral,0,Online,0,0
ENG000780,CUST00336,2023-07-02,Points Earn,643,In-Store,0,0
ENG000781,CUST00533,2023-10-02,Promo Click,0,Mobile App,1076,0
ENG000782,CUST00281,2023-10-06,App Login,0,Mobile App,225,0
ENG000783,CUST00417,2022-04-26,Points Redeem,127,Mobile App,0,0
ENG000784,CUST00505,2022-09-03,Points Earn,155,In-Store,0,0
